"Produto_Comprado","Id_Cliente"
"misc. beverages","100"
"sausage","101"
"pork","101"
"grapes","101"
"whole milk","101"
"rolls/buns","101"
"pastry","101"
"soda","101"
"specialty bar","101"
"bathroom cleaner","101"
"frankfurter","102"
"rolls/buns","102"
"bottled water","102"
"sausage","103"
"whole milk","103"
"yogurt","103"
"coffee","103"
"fruit/vegetable juice","103"
"bottled beer","103"
"softener","103"
"napkins","103"
"photo/film","103"
"shopping bags","103"
"soda","104"
"rolls/buns","105"
"fruit/vegetable juice","105"
"beef","106"
"citrus fruit","106"
"berries","106"
"root vegetables","106"
"brown bread","106"
"detergent","106"
"whole milk","107"
"whipped/sour cream","107"
"rolls/buns","107"
"soda","107"
"waffles","107"
"candy","107"
"cling film/bags","107"
"processed cheese","108"
"tropical fruit","109"
"pip fruit","109"
"frankfurter","110"
"sausage","110"
"root vegetables","110"
"other vegetables","110"
"rolls/buns","110"
"oil","110"
"pickled vegetables","110"
"bottled beer","110"
"chewing gum","110"
"dishes","110"
"packaged fruit/vegetables","111"
"bottled water","111"
"whole milk","112"
"dessert","112"
"frozen vegetables","112"
"rolls/buns","112"
"margarine","112"
"bottled water","112"
"red/blush wine","112"
"newspapers","112"
"berries","113"
"whipped/sour cream","113"
"citrus fruit","114"
"berries","114"
"UHT-milk","114"
"processed cheese","114"
"tropical fruit","115"
"whole milk","115"
"yogurt","115"
"hamburger meat","116"
"whole milk","116"
"frozen vegetables","116"
"rolls/buns","116"
"bottled beer","116"
"sparkling wine","116"
"hamburger meat","117"
"other vegetables","117"
"whole milk","117"
"frozen vegetables","117"
"domestic eggs","117"
"soda","117"
"dishes","117"
"whole milk","118"
"cream cheese","118"
"soda","118"
"fish","119"
"other vegetables","119"
"pastry","119"
"margarine","119"
"coffee","119"
"long life bakery product","119"
"male cosmetics","119"
"shopping bags","119"
"frankfurter","120"
"sausage","120"
"long life bakery product","120"
"waffles","120"
"packaged fruit/vegetables","121"
"dessert","121"
"semi-finished bread","121"
"canned beer","121"
"pastry","122"
"soda","122"
"other vegetables","123"
"red/blush wine","123"
"misc. beverages","124"
"frankfurter","125"
"sausage","125"
"citrus fruit","125"
"tropical fruit","125"
"pip fruit","125"
"whole milk","125"
"hard cheese","125"
"cream cheese","125"
"domestic eggs","125"
"rice","125"
"sugar","125"
"canned fruit","125"
"misc. beverages","125"
"fruit/vegetable juice","125"
"hygiene articles","125"
"sparkling wine","126"
"specialty bar","127"
"sausage","128"
"butter milk","128"
"rolls/buns","128"
"curd cheese","129"
"frankfurter","130"
"dessert","130"
"whole milk","131"
"yogurt","131"
"beverages","131"
"brown bread","131"
"shopping bags","131"
"newspapers","132"
"berries","133"
"soda","133"
"curd","134"
"flour","134"
"liquor (appetizer)","134"
"tropical fruit","135"
"other vegetables","135"
"coffee","135"
"soda","136"
"rolls/buns","137"
"Instant food products","137"
"canned beer","138"
"canned beer","139"
"frankfurter","140"
"sausage","140"
"whole milk","140"
"rolls/buns","140"
"margarine","140"
"other vegetables","141"
"misc. beverages","141"
"canned beer","141"
"whole milk","142"
"frozen vegetables","142"
"whole milk","143"
"citrus fruit","144"
"butter","144"
"cream cheese","144"
"white bread","144"
"oil","144"
"margarine","144"
"newspapers","144"
"frankfurter","145"
"rolls/buns","145"
"frankfurter","146"
"ham","146"
"pip fruit","146"
"other vegetables","146"
"whole milk","146"
"soft cheese","146"
"frozen vegetables","146"
"rolls/buns","146"
"sugar","146"
"baking powder","146"
"butter milk","147"
"yogurt","147"
"honey","147"
"soda","147"
"detergent","147"
"hamburger meat","148"
"citrus fruit","148"
"onions","148"
"rolls/buns","148"
"bottled water","148"
"dental care","148"
"pasta","149"
"popcorn","149"
"other vegetables","150"
"whole milk","150"
"meat spreads","150"
"cake bar","150"
"chocolate","150"
"shopping bags","150"
"sausage","151"
"pork","151"
"citrus fruit","151"
"dessert","151"
"white bread","151"
"dishes","151"
"candles","151"
"rolls/buns","152"
"grapes","153"
"other vegetables","153"
"curd","153"
"dessert","153"
"yogurt","153"
"napkins","153"
"root vegetables","154"
"other vegetables","154"
"whole milk","154"
"yogurt","154"
"beverages","154"
"soft cheese","154"
"frozen vegetables","154"
"fruit/vegetable juice","154"
"bottled beer","154"
"coffee","155"
"shopping bags","155"
"popcorn","156"
"whole milk","157"
"rolls/buns","157"
"sugar","157"
"bottled water","157"
"soda","157"
"tropical fruit","158"
"other vegetables","158"
"packaged fruit/vegetables","158"
"whole milk","158"
"snack products","158"
"beef","159"
"herbs","159"
"flour","159"
"cling film/bags","159"
"flower soil/fertilizer","159"
"whole milk","160"
"butter","160"
"dessert","160"
"rolls/buns","160"
"frankfurter","161"
"soda","161"
"chewing gum","161"
"tropical fruit","162"
"specialty cheese","162"
"bottled water","162"
"canned beer","163"
"finished products","164"
"other vegetables","164"
"frozen vegetables","164"
"bottled beer","164"
"beverages","165"
"soda","165"
"hamburger meat","166"
"root vegetables","166"
"whole milk","166"
"whole milk","167"
"pastry","167"
"long life bakery product","167"
"finished products","168"
"white wine","168"
"shopping bags","168"
"other vegetables","169"
"ham","170"
"tropical fruit","170"
"other vegetables","170"
"whole milk","170"
"white bread","170"
"brown bread","170"
"fruit/vegetable juice","170"
"bottled beer","170"
"other vegetables","171"
"curd","172"
"butter milk","172"
"cocoa drinks","172"
"salty snack","172"
"popcorn","172"
"bottled beer","173"
"curd","174"
"dessert","174"
"soda","174"
"salty snack","174"
"waffles","174"
"cake bar","174"
"chocolate","174"
"shopping bags","174"
"whole milk","175"
"cream cheese","175"
"cereals","175"
"dog food","175"
"whole milk","176"
"salt","176"
"dessert","177"
"ice cream","177"
"sausage","178"
"soft cheese","178"
"coffee","178"
"other vegetables","179"
"bottled water","179"
"waffles","179"
"dishes","179"
"shopping bags","179"
"ham","180"
"whole milk","180"
"rolls/buns","180"
"other vegetables","181"
"ice cream","181"
"other vegetables","182"
"bottled water","182"
"soda","183"
"bottled beer","183"
"white wine","183"
"prosecco","183"
"herbs","184"
"candy","184"
"frankfurter","185"
"ham","185"
"tropical fruit","185"
"pip fruit","185"
"root vegetables","185"
"other vegetables","185"
"whole milk","185"
"butter","185"
"curd","185"
"yogurt","185"
"whipped/sour cream","185"
"soft cheese","185"
"sliced cheese","185"
"cream cheese","185"
"frozen meals","185"
"frozen fish","185"
"domestic eggs","185"
"white bread","185"
"sugar","185"
"cereals","185"
"fruit/vegetable juice","185"
"bottled beer","185"
"waffles","185"
"rolls/buns","186"
"canned beer","186"
"curd","187"
"cream cheese","187"
"semi-finished bread","187"
"zwieback","187"
"cake bar","187"
"specialty bar","187"
"shopping bags","187"
"frankfurter","188"
"tropical fruit","188"
"whole milk","188"
"spread cheese","188"
"margarine","188"
"shopping bags","188"
"other vegetables","189"
"dog food","190"
"specialty bar","191"
"curd","192"
"salt","192"
"liquor (appetizer)","192"
"detergent","192"
"shopping bags","192"
"frankfurter","193"
"rolls/buns","193"
"soda","194"
"beef","195"
"berries","195"
"root vegetables","195"
"whole milk","195"
"dessert","195"
"spread cheese","195"
"brown bread","195"
"canned beer","196"
"pork","197"
"beef","197"
"pip fruit","197"
"herbs","197"
"spices","197"
"frankfurter","198"
"citrus fruit","198"
"UHT-milk","198"
"margarine","198"
"sugar","198"
"sausage","199"
"bottled beer","199"
"liquor (appetizer)","199"
"canned beer","200"
"specialty chocolate","201"
"curd","202"
"rolls/buns","202"
"canned beer","203"
"whole milk","204"
"bottled water","204"
"newspapers","204"
"rolls/buns","205"
"chewing gum","205"
"pork","206"
"root vegetables","206"
"other vegetables","206"
"whole milk","206"
"dishes","206"
"citrus fruit","207"
"pastry","207"
"potted plants","208"
"rolls/buns","209"
"pastry","209"
"soda","209"
"butter","210"
"yogurt","210"
"bottled water","210"
"soda","210"
"make up remover","210"
"hygiene articles","210"
"condensed milk","211"
"sugar","211"
"coffee","211"
"shopping bags","211"
"sausage","212"
"other vegetables","212"
"yogurt","212"
"soda","212"
"shopping bags","212"
"whole milk","213"
"beverages","213"
"UHT-milk","213"
"soda","213"
"sausage","214"
"pork","214"
"beef","214"
"whole milk","214"
"rolls/buns","214"
"margarine","214"
"beverages","215"
"beverages","216"
"specialty bar","216"
"bottled water","217"
"fruit/vegetable juice","217"
"newspapers","218"
"cleaner","219"
"female sanitary products","219"
"sausage","220"
"soda","220"
"newspapers","220"
"shopping bags","220"
"newspapers","221"
"sausage","222"
"beef","222"
"citrus fruit","222"
"other vegetables","222"
"whole milk","222"
"butter milk","222"
"whipped/sour cream","222"
"beverages","222"
"hard cheese","222"
"rolls/buns","222"
"dish cleaner","222"
"cookware","222"
"misc. beverages","223"
"newspapers","223"
"white wine","224"
"sausage","225"
"sliced cheese","225"
"rolls/buns","225"
"soda","225"
"canned beer","225"
"shopping bags","225"
"meat","226"
"curd","226"
"bottled beer","226"
"cake bar","226"
"frankfurter","227"
"meat","227"
"tropical fruit","227"
"onions","227"
"oil","227"
"baking powder","227"
"tea","227"
"cling film/bags","227"
"ice cream","228"
"rolls/buns","228"
"canned beer","228"
"canned beer","229"
"tropical fruit","230"
"berries","230"
"root vegetables","230"
"other vegetables","230"
"bottled water","230"
"shopping bags","230"
"meat","231"
"citrus fruit","231"
"other vegetables","231"
"curd","231"
"dessert","231"
"butter milk","231"
"beverages","231"
"cream cheese","231"
"rolls/buns","231"
"brown bread","231"
"tea","231"
"bottled water","231"
"whole milk","232"
"mustard","232"
"bottled water","232"
"sausage","233"
"beef","233"
"beverages","233"
"sliced cheese","233"
"rolls/buns","233"
"spices","233"
"house keeping products","233"
"flower (seeds)","233"
"frankfurter","234"
"sausage","234"
"root vegetables","234"
"butter","234"
"curd","234"
"sliced cheese","234"
"rolls/buns","234"
"salty snack","234"
"long life bakery product","234"
"meat","235"
"other vegetables","235"
"butter","235"
"rolls/buns","235"
"root vegetables","236"
"beverages","236"
"Instant food products","236"
"pickled vegetables","236"
"detergent","236"
"root vegetables","237"
"herbs","237"
"other vegetables","237"
"whole milk","237"
"sliced cheese","237"
"rolls/buns","237"
"whole milk","238"
"whipped/sour cream","238"
"semi-finished bread","238"
"margarine","238"
"citrus fruit","239"
"whole milk","239"
"curd","239"
"dessert","239"
"yogurt","239"
"whipped/sour cream","239"
"frozen dessert","239"
"rolls/buns","239"
"salt","239"
"sugar","239"
"cereals","239"
"canned vegetables","239"
"canned fish","239"
"skin care","239"
"hygiene articles","239"
"napkins","239"
"citrus fruit","240"
"curd","240"
"pastry","240"
"margarine","240"
"sugar","240"
"candy","240"
"newspapers","240"
"other vegetables","241"
"whole milk","241"
"bottled water","241"
"soda","241"
"misc. beverages","241"
"bottled beer","241"
"red/blush wine","241"
"napkins","241"
"citrus fruit","242"
"whole milk","242"
"rolls/buns","242"
"sausage","243"
"oil","243"
"hygiene articles","243"
"napkins","243"
"frankfurter","244"
"beef","244"
"hamburger meat","244"
"grapes","244"
"root vegetables","244"
"whole milk","244"
"butter","244"
"frozen dessert","244"
"potato products","244"
"bottled water","244"
"bottled beer","244"
"hard cheese","245"
"rolls/buns","245"
"bottled water","245"
"newspapers","245"
"cream cheese","246"
"rolls/buns","246"
"soda","246"
"chocolate","246"
"turkey","247"
"beef","247"
"frozen vegetables","247"
"dishes","247"
"photo/film","247"
"pork","248"
"other vegetables","248"
"whipped/sour cream","248"
"rolls/buns","248"
"soda","248"
"shopping bags","248"
"whole milk","249"
"beverages","249"
"rolls/buns","250"
"soda","250"
"sausage","251"
"pip fruit","251"
"whole milk","251"
"curd","251"
"yogurt","251"
"sliced cheese","251"
"rolls/buns","251"
"bottled water","251"
"hygiene articles","251"
"ice cream","252"
"liquor","253"
"pip fruit","254"
"other vegetables","254"
"fruit/vegetable juice","254"
"root vegetables","255"
"other vegetables","255"
"yogurt","255"
"soda","256"
"soda","257"
"sausage","258"
"citrus fruit","258"
"tropical fruit","258"
"other vegetables","258"
"whole milk","258"
"yogurt","258"
"rolls/buns","258"
"bottled water","258"
"soda","258"
"chocolate","258"
"newspapers","258"
"root vegetables","259"
"whole milk","259"
"pet care","259"
"detergent","259"
"pork","260"
"berries","260"
"root vegetables","260"
"other vegetables","260"
"pastry","260"
"specialty bar","260"
"pork","261"
"chocolate","262"
"fruit/vegetable juice","263"
"pickled vegetables","264"
"coffee","264"
"bottled water","265"
"frankfurter","266"
"sausage","266"
"butter","266"
"whipped/sour cream","266"
"rolls/buns","266"
"margarine","266"
"spices","266"
"tropical fruit","267"
"pip fruit","267"
"onions","267"
"other vegetables","267"
"whole milk","267"
"domestic eggs","267"
"sugar","267"
"soups","267"
"tea","267"
"soda","267"
"hygiene articles","267"
"napkins","267"
"canned beer","268"
"root vegetables","269"
"meat","270"
"citrus fruit","270"
"berries","270"
"root vegetables","270"
"whole milk","270"
"soda","270"
"frankfurter","271"
"rolls/buns","271"
"bottled water","271"
"fruit/vegetable juice","271"
"hygiene articles","271"
"tropical fruit","272"
"margarine","272"
"rum","272"
"tropical fruit","273"
"root vegetables","273"
"herbs","273"
"whole milk","273"
"butter milk","273"
"whipped/sour cream","273"
"flour","273"
"hygiene articles","273"
"citrus fruit","274"
"pip fruit","274"
"root vegetables","274"
"other vegetables","274"
"whole milk","274"
"cream cheese","274"
"domestic eggs","274"
"brown bread","274"
"margarine","274"
"baking powder","274"
"waffles","274"
"hamburger meat","275"
"other vegetables","275"
"whole milk","275"
"curd","275"
"yogurt","275"
"rolls/buns","275"
"pastry","275"
"semi-finished bread","275"
"margarine","275"
"bottled water","275"
"fruit/vegetable juice","275"
"chicken","276"
"pip fruit","276"
"other vegetables","276"
"whole milk","276"
"dessert","276"
"yogurt","276"
"whipped/sour cream","276"
"rolls/buns","276"
"pasta","276"
"soda","276"
"waffles","276"
"chicken","277"
"citrus fruit","277"
"tropical fruit","277"
"root vegetables","277"
"whole milk","277"
"frozen fish","277"
"rolls/buns","277"
"frankfurter","278"
"citrus fruit","278"
"onions","278"
"other vegetables","278"
"whole milk","278"
"rolls/buns","278"
"sugar","278"
"soda","278"
"canned beer","279"
"turkey","280"
"pip fruit","280"
"salad dressing","280"
"pastry","280"
"packaged fruit/vegetables","281"
"whole milk","281"
"curd","281"
"yogurt","281"
"domestic eggs","281"
"brown bread","281"
"mustard","281"
"pickled vegetables","281"
"bottled water","281"
"misc. beverages","281"
"pasta","282"
"citrus fruit","283"
"tropical fruit","283"
"sausage","284"
"whole milk","284"
"yogurt","284"
"rolls/buns","284"
"brown bread","284"
"potted plants","284"
"whole milk","285"
"frozen meals","285"
"pastry","285"
"fruit/vegetable juice","285"
"waffles","285"
"canned beer","286"
"citrus fruit","287"
"sugar","287"
"sauces","287"
"liquor (appetizer)","288"
"citrus fruit","289"
"other vegetables","289"
"rolls/buns","289"
"salty snack","289"
"shopping bags","289"
"sausage","290"
"chicken","291"
"other vegetables","291"
"whole milk","291"
"vinegar","291"
"oil","291"
"bottled water","291"
"canned beer","291"
"napkins","291"
"newspapers","291"
"hamburger meat","292"
"root vegetables","292"
"other vegetables","292"
"whole milk","292"
"yogurt","292"
"whipped/sour cream","292"
"specialty cheese","292"
"flour","292"
"margarine","292"
"sausage","293"
"pork","293"
"other vegetables","293"
"dessert","293"
"yogurt","293"
"oil","293"
"soda","293"
"beef","294"
"berries","294"
"root vegetables","294"
"whole milk","294"
"whipped/sour cream","294"
"abrasive cleaner","294"
"citrus fruit","295"
"packaged fruit/vegetables","295"
"yogurt","295"
"bottled water","295"
"UHT-milk","296"
"coffee","296"
"candy","297"
"newspapers","298"
"beef","299"
"citrus fruit","299"
"other vegetables","299"
"yogurt","299"
"sausage","300"
"rolls/buns","300"
"frankfurter","301"
"beef","301"
"root vegetables","301"
"curd","301"
"dessert","301"
"yogurt","301"
"soft cheese","301"
"rolls/buns","301"
"mustard","301"
"pickled vegetables","301"
"canned beer","301"
"hygiene articles","301"
"napkins","301"
"canned beer","302"
"bottled beer","303"
"onions","304"
"soda","304"
"chewing gum","304"
"chocolate","304"
"newspapers","304"
"tropical fruit","305"
"packaged fruit/vegetables","305"
"cream cheese","305"
"white bread","305"
"candy","305"
"bottled water","306"
"white wine","306"
"beef","307"
"white bread","307"
"pastry","307"
"pasta","307"
"soap","307"
"sausage","308"
"chicken","308"
"tropical fruit","308"
"root vegetables","308"
"whole milk","308"
"yogurt","308"
"candy","308"
"abrasive cleaner","308"
"cleaner","308"
"hair spray","309"
"chicken","310"
"whole milk","310"
"spices","310"
"long life bakery product","310"
"shopping bags","310"
"pork","311"
"citrus fruit","311"
"brown bread","311"
"pastry","311"
"sugar","311"
"cat food","311"
"ice cream","312"
"meat","313"
"hard cheese","313"
"bottled beer","313"
"other vegetables","314"
"yogurt","314"
"brown bread","314"
"instant coffee","314"
"bottled water","315"
"cake bar","315"
"tropical fruit","316"
"soda","316"
"salty snack","316"
"photo/film","317"
"sausage","318"
"citrus fruit","318"
"yogurt","318"
"coffee","318"
"soda","318"
"canned beer","318"
"dishes","318"
"grapes","319"
"root vegetables","319"
"domestic eggs","320"
"brown bread","320"
"photo/film","320"
"rolls/buns","321"
"canned fish","321"
"canned beer","321"
"tropical fruit","322"
"whole milk","322"
"chicken","323"
"frankfurter","324"
"other vegetables","324"
"yogurt","324"
"brown bread","324"
"bottled water","324"
"berries","325"
"root vegetables","325"
"other vegetables","325"
"curd","325"
"butter milk","325"
"cream cheese","325"
"roll products","325"
"margarine","325"
"misc. beverages","325"
"specialty chocolate","325"
"detergent","325"
"margarine","326"
"hygiene articles","326"
"tropical fruit","327"
"yogurt","327"
"rolls/buns","327"
"soda","327"
"shopping bags","327"
"ham","328"
"other vegetables","328"
"whipped/sour cream","328"
"hard cheese","328"
"rolls/buns","328"
"soda","328"
"misc. beverages","328"
"chocolate","328"
"candy","328"
"hamburger meat","329"
"white bread","329"
"salty snack","329"
"yogurt","330"
"mayonnaise","330"
"rolls/buns","330"
"soda","330"
"napkins","330"
"soda","331"
"specialty chocolate","331"
"yogurt","332"
"soda","333"
"bottled water","334"
"sausage","335"
"meat","335"
"hamburger meat","335"
"rubbing alcohol","335"
"citrus fruit","336"
"pip fruit","336"
"beverages","336"
"hard cheese","336"
"pet care","336"
"soda","336"
"fruit/vegetable juice","336"
"waffles","336"
"shopping bags","337"
"newspapers","338"
"frankfurter","339"
"other vegetables","339"
"whole milk","339"
"curd","339"
"frozen potato products","339"
"zwieback","339"
"specialty bar","339"
"dish cleaner","339"
"sausage","340"
"citrus fruit","340"
"whole milk","340"
"canned beer","340"
"frankfurter","341"
"rolls/buns","341"
"salt","342"
"salty snack","342"
"cookware","342"
"oil","343"
"curd","344"
"beverages","344"
"cream cheese","344"
"rolls/buns","344"
"pastry","344"
"soda","344"
"cake bar","344"
"chewing gum","344"
"other vegetables","345"
"butter","345"
"specialty chocolate","345"
"citrus fruit","346"
"frankfurter","347"
"whole milk","347"
"butter milk","347"
"root vegetables","348"
"whole milk","348"
"butter","348"
"processed cheese","348"
"mayonnaise","348"
"salty snack","348"
"tropical fruit","349"
"whole milk","349"
"frozen meals","349"
"bottled beer","349"
"beef","350"
"hamburger meat","350"
"pip fruit","350"
"berries","351"
"whipped/sour cream","351"
"cereals","351"
"waffles","351"
"shopping bags","351"
"canned beer","352"
"whipped/sour cream","353"
"canned beer","353"
"red/blush wine","353"
"root vegetables","354"
"domestic eggs","354"
"margarine","354"
"chocolate marshmallow","354"
"candy","354"
"whole milk","355"
"soda","355"
"beef","356"
"frozen vegetables","357"
"rolls/buns","358"
"bottled beer","358"
"whole milk","359"
"hygiene articles","359"
"whole milk","360"
"citrus fruit","361"
"whole milk","361"
"curd","361"
"soft cheese","361"
"pastry","362"
"fruit/vegetable juice","362"
"frankfurter","363"
"sausage","363"
"pork","363"
"pip fruit","363"
"butter","363"
"processed cheese","363"
"white bread","363"
"brown bread","363"
"tropical fruit","364"
"root vegetables","364"
"whole milk","364"
"whipped/sour cream","364"
"domestic eggs","364"
"frankfurter","365"
"sausage","365"
"root vegetables","365"
"yogurt","365"
"whipped/sour cream","365"
"pastry","365"
"napkins","365"
"berries","366"
"root vegetables","366"
"other vegetables","366"
"packaged fruit/vegetables","366"
"whole milk","366"
"curd","366"
"curd cheese","366"
"cat food","366"
"specialty bar","366"
"detergent","366"
"rolls/buns","367"
"brown bread","367"
"pastry","367"
"coffee","367"
"bottled beer","367"
"root vegetables","368"
"packaged fruit/vegetables","368"
"curd","368"
"dessert","368"
"frozen vegetables","368"
"specialty fat","368"
"coffee","368"
"yogurt","369"
"other vegetables","370"
"bottled water","370"
"berries","371"
"white bread","371"
"berries","372"
"coffee","372"
"other vegetables","373"
"butter milk","373"
"frozen meals","373"
"bottled water","373"
"rolls/buns","374"
"newspapers","374"
"ham","375"
"citrus fruit","375"
"whole milk","375"
"whipped/sour cream","375"
"rolls/buns","375"
"pastry","375"
